# Nygaard Kirkwood HullRadSAS SAXS_weights
2.419234858786865949e+00 2.059358119964599609e+00 2.450000000000000178e+00 3.847000000000000267e-05
2.594947489485615932e+00 2.131147146224975586e+00 2.619000000000000217e+00 5.231299999999999872e-05
3.249730867368499254e+00 2.714183568954467773e+00 3.249000000000000110e+00 8.024600000000000385e-05
2.988281295055402076e+00 2.470025062561035156e+00 2.887999999999999901e+00 8.477600000000000283e-05
3.151594650598088077e+00 2.558581352233886719e+00 2.920999999999999819e+00 5.920999999999999723e-05
2.235838881948953638e+00 1.856126904487609863e+00 2.237999999999999989e+00 1.757100000000000168e-05
2.237665092660750865e+00 1.802649974822998047e+00 2.212000000000000188e+00 1.388600000000000054e-05
2.832098912339413577e+00 2.152694940567016602e+00 2.673000000000000043e+00 4.740499999999999760e-05
2.872392400379419009e+00 2.417139530181884766e+00 2.855999999999999872e+00 7.978999999999999331e-05
2.679535527865560152e+00 2.226579904556274414e+00 2.738999999999999879e+00 6.134899999999999826e-05
2.641695726338371575e+00 2.223049402236938477e+00 2.717999999999999972e+00 4.856900000000000204e-05
2.601671287156743340e+00 2.228510141372680664e+00 2.564000000000000057e+00 7.027899999999999577e-05
2.732423327633356713e+00 2.311440706253051758e+00 2.714999999999999858e+00 5.639799999999999772e-05
2.429356914447362126e+00 2.017403841018676758e+00 2.486000000000000210e+00 3.945699999999999848e-05
2.812960404526390512e+00 2.422054767608642578e+00 2.858999999999999986e+00 9.534799999999999580e-05
2.318326066151873199e+00 1.862731456756591797e+00 2.178999999999999826e+00 1.764399999999999912e-05
2.718159976952546408e+00 2.233578920364379883e+00 2.693000000000000060e+00 7.047599999999999405e-05
2.468590570381332228e+00 2.019817113876342773e+00 2.431999999999999940e+00 3.954699999999999931e-05
2.287696475478766978e+00 1.915028452873229980e+00 2.331999999999999851e+00 2.320900000000000090e-05
2.761842475837894106e+00 2.291134595870971680e+00 2.951000000000000068e+00 6.279200000000000460e-05
3.049854353781735750e+00 2.408977508544921875e+00 2.947999999999999954e+00 5.978899999999999964e-05
2.829083603350508902e+00 2.275717973709106445e+00 2.782000000000000028e+00 6.612400000000000591e-05
2.850593442003204636e+00 2.338119983673095703e+00 2.714999999999999858e+00 6.387300000000000323e-05
2.382283003959738910e+00 2.052000284194946289e+00 2.424999999999999822e+00 3.952000000000000109e-05
2.970570630120342948e+00 2.499455928802490234e+00 2.842000000000000082e+00 9.207500000000000190e-05
2.873427449677738110e+00 2.386943101882934570e+00 2.762999999999999901e+00 7.421300000000000249e-05
2.829425710250173864e+00 2.321506261825561523e+00 2.883000000000000007e+00 7.356799999999999765e-05
2.843038575205297569e+00 2.278077125549316406e+00 2.724000000000000199e+00 6.118300000000000019e-05
2.391348229481943921e+00 1.952105402946472168e+00 2.399000000000000021e+00 2.504300000000000062e-05
2.927915671854524504e+00 2.158929109573364258e+00 2.778000000000000025e+00 3.196500000000000312e-05
2.878461265503835964e+00 2.249900341033935547e+00 2.681999999999999940e+00 5.949900000000000073e-05
2.361958289708052661e+00 1.935228466987609863e+00 2.354000000000000092e+00 3.582299999999999905e-05
2.687117111601672992e+00 2.102517843246459961e+00 2.535000000000000142e+00 4.581200000000000116e-05
2.969067068242296159e+00 2.345147609710693359e+00 2.849000000000000199e+00 7.832199999999999991e-05
3.143806425230685431e+00 2.543098449707031250e+00 3.176000000000000156e+00 8.439099999999999889e-05
2.380131485696772131e+00 2.054667949676513672e+00 2.410000000000000142e+00 3.842799999999999867e-05
2.799604085429630906e+00 2.213055133819580078e+00 2.650999999999999801e+00 4.593399999999999762e-05
2.519838325042511595e+00 1.993569135665893555e+00 2.501999999999999780e+00 2.113200000000000028e-05
2.669332257159109378e+00 2.244016408920288086e+00 2.652000000000000135e+00 6.331499999999999943e-05
2.610010568503863038e+00 2.236346244812011719e+00 2.605999999999999872e+00 6.792700000000000203e-05
2.581983324072129271e+00 2.053943157196044922e+00 2.467000000000000082e+00 3.503399999999999695e-05
2.548974459678571503e+00 2.115477800369262695e+00 2.520000000000000018e+00 5.054100000000000281e-05
2.340235547049187570e+00 1.969965815544128418e+00 2.323999999999999844e+00 2.856800000000000160e-05
2.849399842504265923e+00 2.178144931793212891e+00 2.537999999999999812e+00 5.025300000000000150e-05
2.685482144638615232e+00 2.162260293960571289e+00 2.653000000000000025e+00 5.732400000000000207e-05
3.135927737519533132e+00 2.640443563461303711e+00 3.226999999999999869e+00 1.108499999999999975e-04
2.951657934363997704e+00 2.495277881622314453e+00 2.801000000000000156e+00 8.350900000000000293e-05
2.902837558329123713e+00 2.293616056442260742e+00 2.694999999999999840e+00 5.517300000000000183e-05
2.564934085426479715e+00 2.070016145706176758e+00 2.496999999999999886e+00 3.839999999999999826e-05
2.485040201085403133e+00 2.056534767150878906e+00 2.584000000000000075e+00 3.804099999999999713e-05
2.867857874466829937e+00 2.228683233261108398e+00 2.641000000000000014e+00 4.244100000000000243e-05
2.294781133089030423e+00 1.922014236450195312e+00 2.307999999999999829e+00 2.646800000000000137e-05
2.520648243556135704e+00 1.917857050895690918e+00 2.273000000000000131e+00 2.354300000000000143e-05
2.969657742784849397e+00 2.373592853546142578e+00 2.807999999999999829e+00 8.071099999999999347e-05
2.431255479755324522e+00 1.934017658233642578e+00 2.338000000000000078e+00 2.669899999999999967e-05
2.556489871174879358e+00 2.179924964904785156e+00 2.559000000000000163e+00 6.790200000000000142e-05
2.842372171739170561e+00 2.410802602767944336e+00 2.975000000000000089e+00 8.614399999999999380e-05
2.924221873504039504e+00 2.375793457031250000e+00 2.887999999999999901e+00 7.073900000000000153e-05
2.412063335100732786e+00 1.980295777320861816e+00 2.411999999999999922e+00 4.224300000000000196e-05
