# Nygaard Kirkwood HullRadSAS SAXS_weights
4.148348931346687252e+00 3.145812034606933594e+00 3.838999999999999968e+00 9.548700000000000243e-05
3.889380215395587648e+00 3.075905799865722656e+00 3.617999999999999883e+00 7.756900000000000221e-05
3.752582257720106895e+00 3.152068853378295898e+00 3.758000000000000007e+00 6.668099999999999397e-05
3.350810919073807348e+00 2.572452306747436523e+00 3.327999999999999847e+00 3.929700000000000001e-05
3.246971270667457166e+00 2.654869318008422852e+00 3.266000000000000014e+00 3.651700000000000291e-05
2.961466420294414537e+00 2.365639925003051758e+00 3.012999999999999901e+00 2.369900000000000129e-05
3.518575292036095536e+00 2.989551782608032227e+00 3.501999999999999780e+00 5.027999999999999972e-05
3.799415041940000126e+00 3.142537355422973633e+00 3.943999999999999950e+00 6.384399999999999385e-05
3.936026573935628825e+00 3.083732366561889648e+00 3.714999999999999858e+00 6.530100000000000379e-05
3.120626180465596811e+00 2.582281827926635742e+00 3.204000000000000181e+00 3.107400000000000098e-05
3.329616328449684026e+00 2.788705110549926758e+00 3.349000000000000199e+00 4.680599999999999876e-05
2.887135008920528545e+00 2.338890552520751953e+00 2.915000000000000036e+00 2.361599999999999886e-05
3.013859502990591022e+00 2.484384298324584961e+00 3.153000000000000025e+00 2.396900000000000040e-05
2.991580876707856884e+00 2.408359289169311523e+00 3.060999999999999943e+00 3.120100000000000163e-05
2.528634034106258532e+00 2.078612804412841797e+00 2.656000000000000139e+00 1.107099999999999954e-05
2.901557710291804426e+00 2.376675367355346680e+00 2.968999999999999861e+00 2.310599999999999866e-05
3.601858556402785183e+00 2.954868555068969727e+00 3.644000000000000128e+00 4.340500000000000201e-05
4.111426998696507518e+00 3.203036308288574219e+00 3.895999999999999908e+00 1.011300000000000024e-04
4.097644181434667132e+00 3.063179254531860352e+00 3.607000000000000206e+00 8.047699999999999537e-05
3.847326756866448427e+00 3.181111335754394531e+00 3.959999999999999964e+00 7.594699999999999639e-05
3.372828163639215227e+00 2.660726308822631836e+00 3.295999999999999819e+00 4.186099999999999782e-05
3.846877817010887490e+00 3.044703006744384766e+00 3.908999999999999808e+00 6.231899999999999744e-05
3.699277077541123226e+00 2.841034889221191406e+00 3.661999999999999922e+00 4.464700000000000130e-05
3.354536607478185939e+00 2.565976381301879883e+00 3.267999999999999794e+00 4.094200000000000205e-05
3.202013057341221547e+00 2.551573276519775391e+00 3.083000000000000185e+00 3.370899999999999862e-05
3.685923923597953067e+00 3.046839714050292969e+00 3.669000000000000039e+00 6.451500000000000149e-05
3.598554407146610679e+00 2.820794820785522461e+00 3.585999999999999854e+00 4.921999999999999970e-05
3.180234906388125893e+00 2.584140062332153320e+00 3.245000000000000107e+00 4.269700000000000134e-05
3.847874602923759824e+00 3.002708435058593750e+00 3.758000000000000007e+00 5.971900000000000201e-05
4.116102388758031694e+00 3.178395748138427734e+00 3.814000000000000057e+00 8.032199999999999431e-05
3.820977124780561951e+00 2.935277223587036133e+00 3.680000000000000160e+00 6.354299999999999792e-05
2.890357402421033228e+00 2.331035375595092773e+00 3.003000000000000114e+00 2.215500000000000049e-05
2.736007500123596614e+00 2.199552059173583984e+00 2.875000000000000000e+00 1.817399999999999913e-05
2.977542757887523983e+00 2.430040121078491211e+00 3.120000000000000107e+00 2.577599999999999851e-05
3.063310965454996815e+00 2.563420534133911133e+00 3.157999999999999918e+00 2.968800000000000104e-05
3.089969624473781984e+00 2.453501462936401367e+00 3.055000000000000160e+00 2.826200000000000148e-05
3.187188845504521861e+00 2.601269245147705078e+00 3.123000000000000220e+00 2.898300000000000016e-05
3.211441324184234780e+00 2.682681083679199219e+00 3.209000000000000075e+00 3.655799999999999794e-05
3.794214118352467580e+00 3.162278175354003906e+00 3.830999999999999961e+00 7.181199999999999617e-05
3.238954619180321792e+00 2.635185241699218750e+00 3.295999999999999819e+00 3.317399999999999781e-05
2.765945433355387895e+00 2.248324394226074219e+00 2.843999999999999861e+00 2.486700000000000095e-05
3.202827717353645909e+00 2.573564291000366211e+00 3.206999999999999851e+00 3.401400000000000332e-05
3.354530157255887879e+00 2.577413320541381836e+00 3.206999999999999851e+00 3.597699999999999791e-05
3.593458770356340981e+00 2.853318691253662109e+00 3.499000000000000110e+00 5.477100000000000127e-05
3.108390800995649350e+00 2.431728601455688477e+00 3.164000000000000146e+00 2.890199999999999874e-05
2.949143259226142622e+00 2.332533597946166992e+00 3.025999999999999801e+00 2.653900000000000120e-05
3.311959680210162738e+00 2.521865606307983398e+00 3.291999999999999815e+00 2.995899999999999895e-05
3.109583322351737511e+00 2.421747446060180664e+00 2.894000000000000128e+00 3.464400000000000238e-05
2.936726474511293539e+00 2.372261524200439453e+00 2.861000000000000210e+00 2.376700000000000131e-05
3.671424857628107219e+00 2.749637126922607422e+00 3.697000000000000064e+00 5.118900000000000067e-05
2.884196849115121974e+00 2.349162578582763672e+00 2.960999999999999854e+00 2.271600000000000070e-05
3.376843474858012062e+00 2.688926219940185547e+00 3.298999999999999932e+00 4.390200000000000081e-05
3.048811607076772567e+00 2.482650041580200195e+00 3.132000000000000117e+00 2.912799999999999962e-05
2.845319170585505653e+00 2.311686992645263672e+00 2.884999999999999787e+00 1.923500000000000134e-05
3.150236535092244772e+00 2.501345634460449219e+00 3.267999999999999794e+00 2.446700000000000139e-05
3.615028640537038207e+00 2.966499090194702148e+00 3.677999999999999936e+00 4.978700000000000291e-05
3.522342185810654058e+00 2.751071453094482422e+00 3.399999999999999911e+00 4.894000000000000238e-05
3.375895603797661515e+00 2.760967731475830078e+00 3.662999999999999812e+00 4.392599999999999923e-05
3.071442839470792663e+00 2.491867065429687500e+00 3.234999999999999876e+00 2.991699999999999834e-05
3.601599775547382531e+00 2.773540496826171875e+00 3.619000000000000217e+00 5.162900000000000323e-05
3.779689986362882337e+00 3.124402284622192383e+00 3.740000000000000213e+00 7.534500000000000453e-05
3.788191506453288504e+00 3.099884986877441406e+00 3.861000000000000210e+00 6.608299999999999732e-05
3.676558161441644934e+00 3.072656393051147461e+00 3.645999999999999908e+00 5.759000000000000257e-05
3.459795920652146695e+00 2.779112100601196289e+00 3.499000000000000110e+00 4.607800000000000166e-05
3.696521287709207293e+00 2.968538284301757812e+00 3.640000000000000124e+00 5.864499999999999840e-05
3.441893126716132567e+00 2.727331876754760742e+00 3.391999999999999904e+00 5.153099999999999841e-05
2.795965394434833495e+00 2.301737785339355469e+00 2.895999999999999908e+00 1.997399999999999884e-05
