# Nygaard Kirkwood HullRadSAS SAXS_weights
6.050123180855245586e+00 4.867984771728515625e+00 5.743999999999999773e+00 5.775199999999999865e-05
5.845828212196849449e+00 4.511243343353271484e+00 5.604000000000000092e+00 2.011400000000000088e-05
5.739381903245567074e+00 4.677694797515869141e+00 5.695999999999999730e+00 7.284200000000000494e-05
5.163341898855870582e+00 4.260492324829101562e+00 5.296000000000000263e+00 4.839200000000000017e-05
4.995802391092388994e+00 4.045652389526367188e+00 5.155999999999999694e+00 3.191800000000000171e-05
4.936124128210154893e+00 4.224835872650146484e+00 5.243000000000000327e+00 3.792399999999999808e-05
4.893156626102553197e+00 4.126131534576416016e+00 5.248999999999999666e+00 3.251700000000000055e-05
5.044058410553635241e+00 4.047922134399414062e+00 5.165000000000000036e+00 1.541200000000000084e-05
5.214281568517717069e+00 4.525599479675292969e+00 5.475999999999999979e+00 4.468100000000000131e-05
5.166215165918297103e+00 4.289873600006103516e+00 5.280000000000000249e+00 3.116299999999999962e-05
5.047216339972919741e+00 4.179230213165283203e+00 5.261999999999999567e+00 3.013000000000000121e-05
4.742465068014408480e+00 3.815882444381713867e+00 4.746000000000000441e+00 2.730200000000000050e-05
4.852940468730394308e+00 4.070553779602050781e+00 5.033999999999999808e+00 3.657399999999999914e-05
4.494602071599244297e+00 3.587344646453857422e+00 4.777000000000000135e+00 9.665599999999999412e-06
4.353910282756133121e+00 3.589554786682128906e+00 4.652000000000000135e+00 1.016500000000000009e-05
4.312326458283881614e+00 3.677087306976318359e+00 4.608999999999999986e+00 1.403800000000000010e-05
4.377929015695239734e+00 3.664410829544067383e+00 4.887999999999999901e+00 2.093699999999999961e-05
4.071185139931336572e+00 3.361954927444458008e+00 4.254999999999999893e+00 3.821400000000000377e-06
4.096162674054633968e+00 3.357302188873291016e+00 4.341000000000000192e+00 4.843000000000000049e-06
4.021688034527401534e+00 3.353873014450073242e+00 4.336000000000000298e+00 4.342000000000000102e-06
4.591683335050783299e+00 3.876181840896606445e+00 5.105999999999999872e+00 1.734699999999999841e-05
4.628271305696239679e+00 3.768423080444335938e+00 4.857000000000000206e+00 1.234700000000000054e-05
4.453971685763863597e+00 3.741464376449584961e+00 4.889000000000000234e+00 1.165300000000000007e-05
4.412123003845445979e+00 3.806413412094116211e+00 4.698000000000000398e+00 1.261600000000000084e-05
4.294919057777004667e+00 3.674178123474121094e+00 4.658999999999999808e+00 1.412899999999999974e-05
4.194939275473985596e+00 3.516160488128662109e+00 4.516000000000000014e+00 5.020599999999999839e-06
4.119004767520946686e+00 3.307152509689331055e+00 4.429000000000000270e+00 5.655999999999999719e-06
4.861551791607078954e+00 4.173460960388183594e+00 5.272000000000000242e+00 4.489599999999999841e-05
4.934465202024736818e+00 4.132592201232910156e+00 5.051999999999999602e+00 2.547400000000000039e-05
5.524923537719582889e+00 4.525054454803466797e+00 5.636999999999999567e+00 3.348200000000000232e-05
6.083309200339663825e+00 4.982966899871826172e+00 6.503999999999999559e+00 5.554000000000000018e-05
5.849070694558651695e+00 4.642560482025146484e+00 5.854000000000000092e+00 3.835900000000000323e-05
5.766057508367698148e+00 4.727293491363525391e+00 5.767000000000000348e+00 6.405900000000000450e-05
5.355634199827070674e+00 4.335963249206542969e+00 5.447000000000000064e+00 5.700200000000000075e-05
5.000145272463331736e+00 4.077223777770996094e+00 5.125000000000000000e+00 2.570900000000000068e-05
5.890471944610695232e+00 4.726586818695068359e+00 6.001000000000000334e+00 4.915999999999999689e-05
6.180867861992195955e+00 5.025207042694091797e+00 6.527000000000000135e+00 5.912500000000000058e-05
6.324572993973940349e+00 5.233830928802490234e+00 6.447000000000000064e+00 5.281399999999999951e-05
5.989021192977329378e+00 5.036695957183837891e+00 6.290000000000000036e+00 1.370599999999999922e-04
5.507554656240502666e+00 4.717748641967773438e+00 5.858999999999999986e+00 5.563499999999999842e-05
5.178989370963303251e+00 4.448816299438476562e+00 5.474000000000000199e+00 5.272200000000000107e-05
5.001785583785479439e+00 4.278285503387451172e+00 5.221000000000000085e+00 4.896599999999999840e-05
4.858940044955341264e+00 3.988681554794311523e+00 5.261000000000000121e+00 2.453399999999999922e-05
4.696479562348104153e+00 3.888470888137817383e+00 4.964999999999999858e+00 1.649500000000000047e-05
4.419600538785717347e+00 3.679290294647216797e+00 4.737000000000000099e+00 1.885699999999999920e-05
4.642461639208901758e+00 3.879410743713378906e+00 4.871000000000000441e+00 1.768899999999999954e-05
4.522523973057468893e+00 3.816339492797851562e+00 4.777999999999999581e+00 3.506100000000000194e-05
