# Nygaard Kirkwood HullRadSAS SAXS_weights
5.873426375892457862e+00 4.943188667297363281e+00 6.129999999999999893e+00 6.233099999999999665e-05
5.857951414162992698e+00 4.861534595489501953e+00 6.064000000000000057e+00 5.869499999999999962e-05
5.801532090081241044e+00 4.615292072296142578e+00 5.823000000000000398e+00 4.879500000000000292e-05
5.583864101469071528e+00 4.307487964630126953e+00 5.346000000000000085e+00 5.162800000000000104e-05
5.891683663474919896e+00 4.874420642852783203e+00 5.818999999999999950e+00 7.062499999999999551e-05
5.665896109462947194e+00 4.448984622955322266e+00 5.464999999999999858e+00 4.496600000000000282e-05
5.527806741423967551e+00 4.336431026458740234e+00 5.166999999999999815e+00 2.421099999999999910e-05
5.637560487585135505e+00 4.304616928100585938e+00 5.347999999999999865e+00 3.944499999999999927e-05
5.929813477997496918e+00 4.436305522918701172e+00 5.942000000000000171e+00 8.517999999999999422e-05
5.889154715302937326e+00 4.298638343811035156e+00 5.850999999999999979e+00 1.006100000000000006e-04
5.646772776550998962e+00 4.210223674774169922e+00 5.716999999999999638e+00 6.976800000000000015e-05
5.030280814578492965e+00 3.886562585830688477e+00 4.915000000000000036e+00 4.942899999999999719e-05
5.266547675607344381e+00 4.252999782562255859e+00 5.192999999999999616e+00 4.506299999999999867e-05
5.428413050872167744e+00 4.368605136871337891e+00 5.286999999999999922e+00 3.432600000000000305e-05
5.465901789520887455e+00 4.379555225372314453e+00 5.461000000000000298e+00 3.667899999999999899e-05
5.085563551865103449e+00 4.113529682159423828e+00 5.275000000000000355e+00 4.800000000000000122e-05
5.222922063608935517e+00 4.308157444000244141e+00 5.548000000000000043e+00 5.722899999999999705e-05
5.330307370575847692e+00 4.312910079956054688e+00 5.355999999999999872e+00 4.797300000000000300e-05
5.622123715925033238e+00 4.624869823455810547e+00 5.717999999999999972e+00 4.463599999999999751e-05
5.729239523879631868e+00 4.675313949584960938e+00 5.838000000000000078e+00 8.470999999999999364e-05
5.734486926300747633e+00 4.560467243194580078e+00 5.562999999999999723e+00 9.253200000000000108e-05
5.814769442548036515e+00 4.639592170715332031e+00 5.780999999999999694e+00 7.253499999999999585e-05
6.293236941052658295e+00 4.944612503051757812e+00 6.163000000000000256e+00 8.733500000000000323e-05
6.565504086542512496e+00 5.369664669036865234e+00 6.766000000000000014e+00 1.064700000000000021e-04
6.289975603451713582e+00 5.137118816375732422e+00 6.408000000000000362e+00 8.665899999999999818e-05
6.462065055559563120e+00 4.995215892791748047e+00 6.315999999999999837e+00 6.792900000000000641e-05
6.514891967157685038e+00 4.848129749298095703e+00 5.932000000000000384e+00 1.083699999999999941e-04
6.091816364071241274e+00 4.587269783020019531e+00 5.548000000000000043e+00 7.903199999999999819e-05
5.511837010271957382e+00 4.316432952880859375e+00 5.315999999999999837e+00 5.197100000000000097e-05
5.632577354705905037e+00 4.298194885253906250e+00 5.291999999999999815e+00 3.858299999999999973e-05
6.127581352804923220e+00 4.688539505004882812e+00 5.754999999999999893e+00 1.156300000000000025e-04
6.421792009338659568e+00 4.886065006256103516e+00 6.003000000000000114e+00 8.412499999999999839e-05
6.503089222522673296e+00 5.254781723022460938e+00 6.732000000000000206e+00 1.569899999999999996e-04
6.629197170932224381e+00 5.118766307830810547e+00 6.477999999999999758e+00 1.182299999999999980e-04
6.415335027502431231e+00 5.227031707763671875e+00 6.605000000000000426e+00 5.662800000000000060e-05
5.957928330552195284e+00 4.896157741546630859e+00 6.097000000000000419e+00 7.603800000000000619e-05
5.185296743898113014e+00 4.290452003479003906e+00 5.229000000000000092e+00 4.071199999999999917e-05
5.275033989403612011e+00 4.199923515319824219e+00 5.195000000000000284e+00 2.767900000000000045e-05
5.582402264880107268e+00 4.400403022766113281e+00 5.379999999999999893e+00 5.340800000000000094e-05
5.976882561945140004e+00 4.746660709381103516e+00 5.756999999999999673e+00 6.069600000000000299e-05
5.742268127616413587e+00 4.847893714904785156e+00 5.863000000000000433e+00 4.153699999999999889e-05
5.029828323435953763e+00 3.853204011917114258e+00 4.897000000000000242e+00 4.863100000000000246e-05
4.784113379446637282e+00 3.637478351593017578e+00 4.642000000000000348e+00 5.598699999999999776e-05
4.366234117093078737e+00 3.721784830093383789e+00 4.536999999999999922e+00 2.342200000000000038e-05
4.307421361012560013e+00 3.524345636367797852e+00 4.357999999999999652e+00 3.146100000000000253e-05
5.043409676648652251e+00 4.046929359436035156e+00 5.312999999999999723e+00 2.944200000000000034e-05
4.996527042980540401e+00 4.371414184570312500e+00 5.200000000000000178e+00 5.510099999999999981e-05
4.673637178840708728e+00 4.011114120483398438e+00 4.979000000000000092e+00 3.377800000000000084e-05
4.535924128795320698e+00 3.903440237045288086e+00 4.719999999999999751e+00 3.576600000000000281e-05
4.724629386579123569e+00 3.978975296020507812e+00 5.104000000000000092e+00 4.040100000000000164e-05
4.749357058158278910e+00 4.023648738861083984e+00 5.115000000000000213e+00 3.308600000000000137e-05
4.578672544088414398e+00 3.782392024993896484e+00 4.924000000000000377e+00 3.805399999999999853e-05
5.355870196897354774e+00 4.498765945434570312e+00 5.623000000000000220e+00 6.518699999999999777e-05
5.315170252982514221e+00 4.619699954986572266e+00 5.538000000000000256e+00 3.333000000000000106e-05
5.356100414318300196e+00 4.501906394958496094e+00 5.564000000000000057e+00 3.756799999999999674e-05
4.846617160626224496e+00 4.130044460296630859e+00 5.240000000000000213e+00 3.764200000000000315e-05
4.806475006563322161e+00 4.068542957305908203e+00 5.139999999999999680e+00 4.770499999999999811e-05
5.067689802420255241e+00 4.186637401580810547e+00 5.301000000000000156e+00 7.038200000000000478e-05
5.189032803179634001e+00 4.079444885253906250e+00 5.366999999999999993e+00 5.318999999999999726e-05
5.499064523267857219e+00 4.279983997344970703e+00 5.357000000000000206e+00 3.281400000000000126e-05
5.909746633861129972e+00 4.681597232818603516e+00 6.009999999999999787e+00 6.089300000000000127e-05
5.860505102055150850e+00 4.930601596832275391e+00 5.995000000000000107e+00 6.148499999999999831e-05
5.629074516521852090e+00 4.294980049133300781e+00 5.139999999999999680e+00 4.067199999999999955e-05
6.169342037031976034e+00 4.692223548889160156e+00 5.785999999999999588e+00 3.458800000000000156e-05
6.213442074205813626e+00 4.717289447784423828e+00 5.855999999999999872e+00 8.651499999999999414e-05
6.117874908029824255e+00 4.771203517913818359e+00 5.975999999999999979e+00 8.194600000000000451e-05
6.399023642650730537e+00 5.257275581359863281e+00 6.549999999999999822e+00 6.678300000000000078e-05
6.508836414782858348e+00 5.397858619689941406e+00 6.586000000000000298e+00 6.564299999999999476e-05
6.462004476924219531e+00 5.317528724670410156e+00 6.344999999999999751e+00 9.226499999999999838e-05
6.081423631746213587e+00 4.943345546722412109e+00 6.150000000000000355e+00 5.375899999999999809e-05
5.225154367981479808e+00 4.170600891113281250e+00 5.541000000000000369e+00 3.318099999999999961e-05
4.288656425723880616e+00 3.569528818130493164e+00 4.402999999999999581e+00 3.599899999999999872e-05
3.813828530699766794e+00 3.234349250793457031e+00 3.991000000000000103e+00 1.533800000000000121e-05
4.249639852025809184e+00 3.590235948562622070e+00 4.467999999999999972e+00 3.343300000000000330e-05
4.542827674140082372e+00 3.731504201889038086e+00 4.746000000000000441e+00 4.306299999999999749e-05
5.022112102750659446e+00 4.333829402923583984e+00 5.320000000000000284e+00 5.581699999999999769e-05
4.940943033617562818e+00 4.303851604461669922e+00 5.394000000000000128e+00 5.400699999999999978e-05
4.342866474120176790e+00 3.440622329711914062e+00 4.408999999999999808e+00 2.248900000000000101e-05
4.521964125386686462e+00 3.741633176803588867e+00 4.873999999999999666e+00 3.309200000000000097e-05
4.632672544578293028e+00 3.967058420181274414e+00 4.916000000000000369e+00 2.520700000000000108e-05
4.632821363584210594e+00 3.842157363891601562e+00 4.738999999999999879e+00 2.409000000000000144e-05
4.398677569603092863e+00 3.864481210708618164e+00 4.799000000000000377e+00 4.023199999999999699e-05
4.431226099265729523e+00 3.781408786773681641e+00 4.732000000000000206e+00 2.554100000000000161e-05
4.527218068377575122e+00 3.816831350326538086e+00 4.810999999999999943e+00 4.486799999999999800e-05
4.408966170885147307e+00 3.568532705307006836e+00 4.461000000000000298e+00 2.899600000000000156e-05
4.675716422864030442e+00 4.027883052825927734e+00 4.977999999999999758e+00 3.564699999999999938e-05
4.760033189474141224e+00 4.080855846405029297e+00 5.083999999999999631e+00 3.969000000000000116e-05
5.219335933590782517e+00 4.307792663574218750e+00 5.397999999999999687e+00 4.462699999999999810e-05
5.499106016292594212e+00 4.675521373748779297e+00 5.491999999999999993e+00 5.947899999999999753e-05
4.994805453456069522e+00 4.129262924194335938e+00 5.169999999999999929e+00 4.981400000000000113e-05
5.156345772820839279e+00 4.212959766387939453e+00 5.262999999999999901e+00 3.817499999999999957e-05
5.084817985498490955e+00 4.085742950439453125e+00 5.315999999999999837e+00 5.395399999999999876e-05
5.378505950192967511e+00 4.346251964569091797e+00 5.302999999999999936e+00 2.546599999999999979e-05
5.283126845148793826e+00 4.050658226013183594e+00 5.339000000000000412e+00 4.740799999999999740e-05
5.306400322789145640e+00 4.241622924804687500e+00 5.076999999999999957e+00 2.735300000000000052e-05
5.303516327372986616e+00 4.249639511108398438e+00 5.315000000000000391e+00 3.397099999999999713e-05
5.148878677008373650e+00 4.143302440643310547e+00 5.267999999999999794e+00 2.845200000000000135e-05
5.144714044279023568e+00 4.391371250152587891e+00 5.474999999999999645e+00 4.262799999999999912e-05
4.320440498817337271e+00 3.440397739410400391e+00 4.386999999999999567e+00 2.343199999999999859e-05
4.679453503114889834e+00 3.855507135391235352e+00 4.754999999999999893e+00 2.829499999999999930e-05
4.848017273011264727e+00 4.006042480468750000e+00 4.881000000000000227e+00 3.673099999999999781e-05
4.883350061555555399e+00 4.162449359893798828e+00 5.064000000000000057e+00 4.246900000000000284e-05
5.105146130391326587e+00 4.257436752319335938e+00 5.246999999999999886e+00 5.436400000000000330e-05
4.822426484109580080e+00 3.739951848983764648e+00 5.059000000000000163e+00 3.763699999999999896e-05
4.616704865600654628e+00 3.842327594757080078e+00 4.695999999999999730e+00 4.907000000000000283e-05
4.624779500948192457e+00 3.752307176589965820e+00 4.746999999999999886e+00 3.201700000000000195e-05
5.207110937149235674e+00 4.227351665496826172e+00 5.432999999999999829e+00 2.773699999999999888e-05
5.223632831433635104e+00 4.197653770446777344e+00 5.195999999999999730e+00 3.414699999999999680e-05
5.250092071220615608e+00 4.321980476379394531e+00 5.392999999999999794e+00 3.197499999999999794e-05
5.423330825438157810e+00 4.316421031951904297e+00 5.642000000000000348e+00 3.152099999999999856e-05
5.516077489961480396e+00 4.662369251251220703e+00 5.709999999999999964e+00 5.411699999999999703e-05
5.545412571337085872e+00 4.717635154724121094e+00 6.011000000000000121e+00 5.337400000000000092e-05
4.820827506462529222e+00 3.925525188446044922e+00 4.871999999999999886e+00 2.500600000000000080e-05
4.501285155782290381e+00 3.703724384307861328e+00 4.615000000000000213e+00 2.253700000000000123e-05
4.673277821645121399e+00 3.686881303787231445e+00 4.772000000000000242e+00 2.410099999999999846e-05
4.556236767017048273e+00 3.821595668792724609e+00 4.772999999999999687e+00 3.965199999999999915e-05
4.905112984480755500e+00 3.855385780334472656e+00 4.983999999999999986e+00 2.501299999999999921e-05
5.102258400373823832e+00 4.146883487701416016e+00 5.173000000000000043e+00 3.116700000000000161e-05
5.173265945355979945e+00 4.172337055206298828e+00 5.190000000000000391e+00 3.241300000000000290e-05
4.983234851966147794e+00 4.077918052673339844e+00 4.823000000000000398e+00 2.238499999999999998e-05
4.769658253004846138e+00 3.814881563186645508e+00 4.722999999999999865e+00 3.491699999999999790e-05
4.687669737420035787e+00 3.876803874969482422e+00 5.025999999999999801e+00 3.913299999999999955e-05
5.236755300076921138e+00 4.235990524291992188e+00 5.604000000000000092e+00 3.680499999999999744e-05
5.746036967134200424e+00 4.616180896759033203e+00 5.685999999999999943e+00 5.735999999999999969e-05
6.003739622006825094e+00 4.666874408721923828e+00 5.580000000000000071e+00 8.159499999999999381e-05
6.092862173015078042e+00 4.817700386047363281e+00 5.996000000000000441e+00 5.351799999999999819e-05
6.050014639014963613e+00 4.824623584747314453e+00 5.913999999999999702e+00 5.544299999999999755e-05
5.943952634585473405e+00 4.556622982025146484e+00 5.495000000000000107e+00 7.516199999999999628e-05
6.303776950345301167e+00 4.507536888122558594e+00 5.628999999999999559e+00 8.289999999999999572e-05
6.410892001570665855e+00 4.588808059692382812e+00 5.758000000000000007e+00 1.093700000000000049e-04
6.186215448556064977e+00 5.169440746307373047e+00 6.304000000000000270e+00 8.457900000000000455e-05
5.967301744158538312e+00 4.738612174987792969e+00 5.758000000000000007e+00 4.793699999999999860e-05
5.927693695380522598e+00 4.685345172882080078e+00 5.756000000000000227e+00 6.344100000000000466e-05
5.741467205318788736e+00 4.706278324127197266e+00 5.761000000000000121e+00 4.791899999999999979e-05
5.594081007344665402e+00 4.728423595428466797e+00 5.942000000000000171e+00 5.114900000000000105e-05
5.253587506281388819e+00 4.136576175689697266e+00 5.285999999999999588e+00 3.125100000000000284e-05
5.568268766763500466e+00 4.425037860870361328e+00 5.548000000000000043e+00 4.424800000000000055e-05
6.204675446131920680e+00 5.118477821350097656e+00 6.429999999999999716e+00 5.656799999999999779e-05
5.955553261534501708e+00 4.906394958496093750e+00 6.525000000000000355e+00 8.470300000000000539e-05
4.940796336559380109e+00 3.872608900070190430e+00 4.881000000000000227e+00 3.004200000000000137e-05
5.002414170937934834e+00 4.266376495361328125e+00 5.320999999999999730e+00 3.396299999999999992e-05
5.493114019166863926e+00 4.448704242706298828e+00 5.368999999999999773e+00 2.988100000000000071e-05
5.851598974529897745e+00 4.606961727142333984e+00 5.548000000000000043e+00 5.889599999999999989e-05
5.286481457899499858e+00 4.143165111541748047e+00 5.036999999999999922e+00 3.556299999999999815e-05
4.897889380931876424e+00 3.999081850051879883e+00 4.871999999999999886e+00 2.073200000000000073e-05
5.017091228987557550e+00 4.200333118438720703e+00 4.969000000000000306e+00 3.169500000000000063e-05
5.130162269117706231e+00 4.369597911834716797e+00 5.291000000000000369e+00 4.486199999999999840e-05
5.033060396120545121e+00 4.307864189147949219e+00 5.434000000000000163e+00 4.080699999999999741e-05
4.481254425166106614e+00 3.813379764556884766e+00 4.764999999999999680e+00 3.020299999999999865e-05
4.534458612856951731e+00 3.582538127899169922e+00 4.551999999999999602e+00 1.747699999999999886e-05
5.061983645262182918e+00 4.013140678405761719e+00 5.448000000000000398e+00 4.408599999999999769e-05
4.880179653767611647e+00 4.067472457885742188e+00 4.857999999999999652e+00 5.691600000000000191e-05
5.090189202568343063e+00 4.320693016052246094e+00 5.014999999999999680e+00 3.573700000000000021e-05
5.190126681273073750e+00 4.255810260772705078e+00 4.988000000000000433e+00 5.117799999999999688e-05
5.190955850419429751e+00 4.121368885040283203e+00 4.855000000000000426e+00 3.683200000000000243e-05
5.477070974593273078e+00 4.007448196411132812e+00 5.081999999999999851e+00 2.641400000000000155e-05
4.962454441972311336e+00 3.949656009674072266e+00 4.996000000000000441e+00 2.349399999999999902e-05
4.113775911393174667e+00 3.548201799392700195e+00 4.464000000000000412e+00 3.199699999999999875e-05
4.275298160658160818e+00 3.716613292694091797e+00 4.782000000000000028e+00 3.927799999999999900e-05
4.015087677969928492e+00 3.380987882614135742e+00 4.187000000000000277e+00 2.685100000000000092e-05
3.598927979927167620e+00 2.993150949478149414e+00 3.871999999999999886e+00 1.461200000000000003e-05
4.071186956075020014e+00 3.391066312789916992e+00 4.392000000000000348e+00 2.102700000000000044e-05
