# Nygaard Kirkwood HullRadSAS SAXS_weights
1.448730081947712467e+00 1.188372492790222168e+00 1.296000000000000041e+00 5.243200000000000215e-05
1.386343279331945011e+00 1.084676742553710938e+00 1.209000000000000075e+00 8.239200000000000668e-05
1.446853873468180174e+00 1.197803497314453125e+00 1.338000000000000078e+00 4.465199999999999871e-05
1.411239108385517360e+00 1.117311000823974609e+00 1.274999999999999911e+00 6.154900000000000312e-05
1.322269428491810839e+00 1.014569282531738281e+00 1.173999999999999932e+00 8.671700000000000339e-05
1.470422778642559214e+00 1.261235833168029785e+00 1.437000000000000055e+00 3.786899999999999945e-05
1.388763566136727690e+00 1.157843470573425293e+00 1.235999999999999988e+00 5.620200000000000163e-05
1.461458339699405640e+00 1.256407856941223145e+00 1.391000000000000014e+00 3.981000000000000001e-05
1.467165483411284388e+00 1.223080158233642578e+00 1.399000000000000021e+00 4.891200000000000197e-05
1.443078547179549753e+00 1.232995033264160156e+00 1.344999999999999973e+00 4.906499999999999864e-05
1.503152639082820485e+00 1.316833853721618652e+00 1.431999999999999940e+00 4.616299999999999831e-05
1.377484909355197518e+00 1.092519283294677734e+00 1.243999999999999995e+00 6.567999999999999457e-05
1.489063951148673848e+00 1.263598561286926270e+00 1.387999999999999901e+00 5.085799999999999994e-05
1.422614325167187221e+00 1.171514630317687988e+00 1.326999999999999957e+00 4.786800000000000316e-05
1.366447401498193326e+00 1.120603680610656738e+00 1.199000000000000066e+00 5.678399999999999707e-05
1.464946001267196207e+00 1.230897307395935059e+00 1.366000000000000103e+00 4.649099999999999923e-05
1.489007439210892736e+00 1.359266281127929688e+00 1.465000000000000080e+00 3.297399999999999973e-05
1.421070319681688066e+00 1.168815016746520996e+00 1.300999999999999934e+00 4.631900000000000156e-05
1.363747689459136936e+00 1.082535147666931152e+00 1.225000000000000089e+00 7.964199999999999405e-05
1.459046770054978959e+00 1.227400541305541992e+00 1.346999999999999975e+00 4.371499999999999735e-05
1.485117539627195837e+00 1.298576831817626953e+00 1.405999999999999917e+00 3.914700000000000314e-05
1.363006678618214673e+00 1.086843013763427734e+00 1.233000000000000096e+00 6.904000000000000306e-05
1.388583023365983493e+00 1.159648299217224121e+00 1.282000000000000028e+00 5.178399999999999751e-05
1.430962372884323486e+00 1.199200630187988281e+00 1.312000000000000055e+00 4.948300000000000040e-05
1.379804604104108989e+00 1.105202436447143555e+00 1.235000000000000098e+00 6.770699999999999397e-05
1.407735810768521612e+00 1.159405827522277832e+00 1.316999999999999948e+00 5.009999999999999805e-05
1.362348828803594314e+00 1.108626008033752441e+00 1.223999999999999977e+00 6.050000000000000012e-05
1.326566793298855407e+00 9.953604340553283691e-01 1.161000000000000032e+00 8.287099999999999989e-05
1.447797418608449460e+00 1.206810474395751953e+00 1.362000000000000099e+00 4.191600000000000322e-05
1.469675598318532339e+00 1.226805686950683594e+00 1.366000000000000103e+00 4.834300000000000115e-05
1.459440353845990801e+00 1.228694438934326172e+00 1.370000000000000107e+00 4.219300000000000074e-05
1.488438238307009609e+00 1.310398936271667480e+00 1.431000000000000050e+00 4.299100000000000225e-05
1.360214189668912832e+00 1.100384950637817383e+00 1.235999999999999988e+00 7.355599999999999845e-05
1.501059527978121588e+00 1.337024688720703125e+00 1.453999999999999959e+00 4.004600000000000249e-05
1.345658263781994268e+00 1.063264966011047363e+00 1.207999999999999963e+00 8.160999999999999960e-05
1.407637135761172997e+00 1.124520421028137207e+00 1.276999999999999913e+00 5.375500000000000287e-05
1.472346931267642933e+00 1.276936054229736328e+00 1.419999999999999929e+00 3.665500000000000057e-05
1.362383422843521430e+00 1.094105124473571777e+00 1.215000000000000080e+00 6.551200000000000567e-05
1.386123299059510261e+00 1.102200508117675781e+00 1.197000000000000064e+00 5.606199999999999958e-05
1.431772839477961856e+00 1.208611488342285156e+00 1.344000000000000083e+00 4.768800000000000149e-05
1.430059265675158953e+00 1.233260393142700195e+00 1.354000000000000092e+00 3.148699999999999855e-05
1.471157777877383221e+00 1.233100414276123047e+00 1.364000000000000101e+00 5.113799999999999726e-05
1.469487165912918725e+00 1.287595629692077637e+00 1.445000000000000062e+00 3.306299999999999837e-05
1.517902991232106036e+00 1.377652525901794434e+00 1.506000000000000005e+00 5.200399999999999879e-05
1.479648697746926089e+00 1.293475508689880371e+00 1.397999999999999909e+00 3.854899999999999972e-05
1.429656333181839711e+00 1.159376263618469238e+00 1.294999999999999929e+00 4.699099999999999783e-05
