# Nygaard Kirkwood HullRadSAS SAXS_weights
3.250209421532457732e+00 2.813235282897949219e+00 3.342999999999999972e+00 5.100899999999999900e-05
3.457501706855885093e+00 2.881446361541748047e+00 3.523000000000000131e+00 4.834700000000000315e-05
3.509656574224814474e+00 2.978180408477783203e+00 3.488999999999999879e+00 3.871400000000000237e-05
3.624403721554632085e+00 3.086299419403076172e+00 3.654999999999999805e+00 3.383799999999999688e-05
3.683554500553861910e+00 3.151465892791748047e+00 3.750999999999999890e+00 2.905699999999999979e-05
3.524176090018613650e+00 3.052218198776245117e+00 3.744000000000000217e+00 3.478399999999999765e-05
3.285916896210739679e+00 2.979240179061889648e+00 3.396999999999999797e+00 2.593999999999999897e-05
2.926122392723349730e+00 2.563836097717285156e+00 2.992999999999999883e+00 1.077300000000000002e-04
3.353066226853044896e+00 2.864288091659545898e+00 3.472999999999999865e+00 4.095199999999999687e-05
3.643362871521504953e+00 3.018322467803955078e+00 3.564000000000000057e+00 4.790700000000000058e-05
3.497668967447661537e+00 2.865366458892822266e+00 3.479000000000000092e+00 5.050799999999999821e-05
3.849588918185281816e+00 3.483326196670532227e+00 4.208999999999999631e+00 1.945400000000000043e-05
3.600642863204401412e+00 3.060785531997680664e+00 3.579000000000000181e+00 3.483600000000000325e-05
3.316507070911613564e+00 2.782362699508666992e+00 3.387000000000000011e+00 5.815599999999999681e-05
3.188989205501690627e+00 2.690581798553466797e+00 3.132000000000000117e+00 6.795200000000000263e-05
3.325229658857546067e+00 2.866894483566284180e+00 3.435999999999999943e+00 3.720300000000000278e-05
3.340771086513191879e+00 2.882046222686767578e+00 3.580999999999999961e+00 4.660900000000000047e-05
3.533584153026499308e+00 2.938453912734985352e+00 3.549999999999999822e+00 3.860099999999999854e-05
3.490749093923361190e+00 2.876709699630737305e+00 3.633000000000000007e+00 4.422299999999999994e-05
3.028729892450796157e+00 2.723360776901245117e+00 3.249000000000000110e+00 5.229900000000000190e-05
2.893999442213876616e+00 2.417840719223022461e+00 2.730999999999999872e+00 1.751500000000000019e-04
3.349921045184328428e+00 2.839444398880004883e+00 3.283999999999999808e+00 5.184400000000000033e-05
3.964297944898564907e+00 3.444204568862915039e+00 4.084999999999999964e+00 2.547600000000000138e-05
3.766746883383387257e+00 3.283132553100585938e+00 3.995999999999999996e+00 2.592200000000000016e-05
3.380155175452931537e+00 2.822459936141967773e+00 3.214999999999999858e+00 6.759799999999999891e-05
3.284691905854972394e+00 2.862487554550170898e+00 3.383000000000000007e+00 3.740000000000000106e-05
3.379647700727438142e+00 2.946104526519775391e+00 3.408999999999999808e+00 3.267699999999999902e-05
3.811575167075551551e+00 3.254311561584472656e+00 3.915000000000000036e+00 3.120499999999999685e-05
3.694804371052367920e+00 3.324318885803222656e+00 4.038000000000000256e+00 1.978999999999999856e-05
3.290071840639293477e+00 2.992411613464355469e+00 3.704000000000000181e+00 2.756399999999999901e-05
3.192182055037184440e+00 2.784749984741210938e+00 3.209000000000000075e+00 6.085900000000000126e-05
3.589257382752462089e+00 3.048675775527954102e+00 3.641000000000000014e+00 3.413400000000000218e-05
3.580249097081309007e+00 3.123583555221557617e+00 3.761000000000000121e+00 3.342499999999999931e-05
3.460876486781908401e+00 3.020494461059570312e+00 3.754000000000000004e+00 3.339999999999999870e-05
3.042165886000608666e+00 2.720453262329101562e+00 3.181000000000000050e+00 5.553700000000000037e-05
2.967491116873155477e+00 2.657306909561157227e+00 3.153999999999999915e+00 7.643300000000000495e-05
3.429667069447950301e+00 3.055396556854248047e+00 3.611000000000000210e+00 3.546300000000000250e-05
3.530437793263597968e+00 2.864412784576416016e+00 3.543000000000000149e+00 6.286399999999999985e-05
3.654913444327744010e+00 3.122421264648437500e+00 3.709000000000000075e+00 3.117099999999999683e-05
3.643000835894858458e+00 3.194821119308471680e+00 3.698999999999999844e+00 3.051000000000000096e-05
3.585371705014789079e+00 3.010651588439941406e+00 3.537999999999999812e+00 4.244799999999999745e-05
3.217418944484900400e+00 2.774128675460815430e+00 3.249000000000000110e+00 5.770299999999999963e-05
3.458362541805780843e+00 2.966720819473266602e+00 3.487000000000000099e+00 3.668700000000000297e-05
3.728446981899721013e+00 3.172833919525146484e+00 3.837000000000000188e+00 2.890600000000000073e-05
3.377233920169358861e+00 2.958996057510375977e+00 3.471999999999999975e+00 3.506499999999999716e-05
3.228718615631906097e+00 2.591027498245239258e+00 3.184000000000000163e+00 7.501200000000000619e-05
3.385507070793352113e+00 2.912423849105834961e+00 3.455999999999999961e+00 4.273100000000000135e-05
3.538717514547763621e+00 3.119173049926757812e+00 3.611000000000000210e+00 2.694899999999999897e-05
2.943181076155541032e+00 2.681532144546508789e+00 3.190999999999999837e+00 8.217300000000000082e-05
3.348750699316112023e+00 3.015528440475463867e+00 3.640000000000000124e+00 3.332499999999999688e-05
3.825817257826259699e+00 3.226337432861328125e+00 3.801000000000000156e+00 3.258300000000000297e-05
3.844365851691562419e+00 3.314175844192504883e+00 4.062000000000000277e+00 2.717700000000000085e-05
3.464074828911058113e+00 2.961235284805297852e+00 3.431000000000000050e+00 3.326699999999999845e-05
3.242420956717221081e+00 2.674646139144897461e+00 3.056000000000000050e+00 9.283500000000000139e-05
3.563483783154985041e+00 2.954252958297729492e+00 3.472999999999999865e+00 5.157799999999999982e-05
3.437715821184176512e+00 2.987137317657470703e+00 3.495999999999999996e+00 3.529399999999999785e-05
3.220892845309669017e+00 2.804393529891967773e+00 3.269000000000000128e+00 4.347600000000000184e-05
3.365224892228032783e+00 2.830596923828125000e+00 3.193999999999999950e+00 5.282100000000000131e-05
3.709774327904850733e+00 3.177718400955200195e+00 3.713999999999999968e+00 2.859799999999999961e-05
3.429363597708452005e+00 2.920047998428344727e+00 3.576999999999999957e+00 4.522999999999999894e-05
3.141465108426025665e+00 2.794439315795898438e+00 3.290000000000000036e+00 4.669399999999999712e-05
3.327752477706920509e+00 2.858456373214721680e+00 3.410000000000000142e+00 6.457399999999999534e-05
3.344079917054243900e+00 2.919909000396728516e+00 3.384999999999999787e+00 3.725599999999999702e-05
3.052946554475405971e+00 2.608353853225708008e+00 3.047000000000000153e+00 8.435000000000000386e-05
2.951520891303510030e+00 2.615064620971679688e+00 3.020999999999999908e+00 1.040499999999999948e-04
3.580813008420991483e+00 3.242985963821411133e+00 3.930000000000000160e+00 2.405499999999999923e-05
3.119213985119991150e+00 2.572166204452514648e+00 3.072999999999999954e+00 7.308200000000000265e-05
3.385886121101200352e+00 3.062742948532104492e+00 3.740000000000000213e+00 2.725799999999999889e-05
3.694770072708826625e+00 3.113829135894775391e+00 3.833000000000000185e+00 3.407299999999999717e-05
3.721685372499491162e+00 3.166636705398559570e+00 3.754999999999999893e+00 3.115200000000000261e-05
3.751780361577906397e+00 3.312196731567382812e+00 3.962000000000000188e+00 2.823899999999999848e-05
3.448619837156128742e+00 2.998466968536376953e+00 3.561999999999999833e+00 4.051500000000000088e-05
3.439793625871428340e+00 3.091569185256958008e+00 3.806999999999999940e+00 2.535899999999999895e-05
3.592402058192392111e+00 3.107650995254516602e+00 3.718999999999999861e+00 2.695999999999999937e-05
3.715693388966214261e+00 3.051898956298828125e+00 3.641000000000000014e+00 3.382899999999999747e-05
3.736686209130080982e+00 3.102239847183227539e+00 3.694999999999999840e+00 3.326200000000000104e-05
3.011607615114068714e+00 2.730769634246826172e+00 3.152000000000000135e+00 5.174399999999999790e-05
3.159128394246666804e+00 2.913527488708496094e+00 3.350000000000000089e+00 3.284200000000000167e-05
