# Nygaard Kirkwood HullRadSAS SAXS_weights
2.836392897580422012e+00 2.179922342300415039e+00 2.785000000000000142e+00 5.121299999999999908e-05
2.853897274343866197e+00 2.263904333114624023e+00 2.774000000000000021e+00 5.010500000000000224e-05
2.784078554702044794e+00 2.205466270446777344e+00 2.745000000000000107e+00 5.210899999999999864e-05
2.611935017938802783e+00 2.047365665435791016e+00 2.694999999999999840e+00 4.793099999999999900e-05
2.765590772949532816e+00 2.189118623733520508e+00 2.745999999999999996e+00 5.302900000000000338e-05
3.360694242138706933e+00 2.608222961425781250e+00 3.108999999999999986e+00 6.004199999999999875e-05
2.704261653997851678e+00 2.168632030487060547e+00 2.571000000000000174e+00 4.990700000000000176e-05
2.982906996811228506e+00 2.227644681930541992e+00 2.888999999999999790e+00 4.638700000000000158e-05
2.406400089200971593e+00 1.943516492843627930e+00 2.386000000000000121e+00 4.078599999999999880e-05
2.398865132261023270e+00 1.936513781547546387e+00 2.430000000000000160e+00 4.016499999999999915e-05
2.665295437689886970e+00 2.064544439315795898e+00 2.753000000000000114e+00 5.170399999999999828e-05
3.408384799953287025e+00 2.661883831024169922e+00 3.217000000000000082e+00 5.695999999999999674e-05
3.667515338287074655e+00 2.665288686752319336e+00 3.251999999999999780e+00 4.909299999999999905e-05
2.987227844632971863e+00 2.387531042098999023e+00 2.834000000000000075e+00 5.944100000000000230e-05
2.767732596812806367e+00 2.108874559402465820e+00 2.770000000000000018e+00 5.095700000000000018e-05
3.577506020588658409e+00 3.093719959259033203e+00 3.552999999999999936e+00 6.457399999999999534e-05
3.272284253398046072e+00 2.589636325836181641e+00 3.176000000000000156e+00 5.627000000000000166e-05
2.993719225662120120e+00 2.320105075836181641e+00 2.887999999999999901e+00 5.382300000000000289e-05
3.011829159314017623e+00 2.363477468490600586e+00 2.801000000000000156e+00 5.251200000000000138e-05
2.997086455735396893e+00 2.320227146148681641e+00 2.839999999999999858e+00 5.655299999999999878e-05
3.001413317673471859e+00 2.421986818313598633e+00 2.954000000000000181e+00 5.571400000000000224e-05
2.667029507952997314e+00 2.029537439346313477e+00 2.439999999999999947e+00 5.003100000000000261e-05
2.740889609105030988e+00 2.143214941024780273e+00 2.638999999999999790e+00 5.017600000000000207e-05
2.425770467764356120e+00 1.938720941543579102e+00 2.491000000000000103e+00 4.224900000000000156e-05
3.237987101929664213e+00 2.544310331344604492e+00 3.197000000000000064e+00 5.801300000000000174e-05
3.481519668237136322e+00 2.753361225128173828e+00 3.302000000000000046e+00 5.641999999999999853e-05
3.019047776517484571e+00 2.330426931381225586e+00 2.948999999999999844e+00 5.325799999999999729e-05
