# Nygaard Kirkwood HullRadSAS SAXS_weights
3.382985734339373440e+00 2.801064252853393555e+00 3.410000000000000142e+00 3.011799999999999861e-05
3.519218201156777415e+00 2.874888420104980469e+00 3.458000000000000185e+00 5.751999999999999816e-05
3.283456302328939813e+00 2.812762022018432617e+00 3.373000000000000220e+00 2.045400000000000102e-05
3.341448290555324441e+00 2.680285215377807617e+00 3.463999999999999968e+00 1.457600000000000071e-05
2.919200006783373880e+00 2.396943807601928711e+00 3.016000000000000014e+00 5.423600000000000046e-05
2.795060921336816939e+00 2.353645801544189453e+00 2.843999999999999861e+00 2.182900000000000056e-05
3.457661771057942701e+00 2.891838312149047852e+00 3.619000000000000217e+00 2.464499999999999867e-05
3.435585613149714224e+00 2.817249774932861328e+00 3.423000000000000043e+00 3.292500000000000071e-05
3.297994701117011651e+00 2.786222696304321289e+00 3.500000000000000000e+00 4.205299999999999869e-05
3.378561814133316688e+00 2.835129022598266602e+00 3.408999999999999808e+00 2.374599999999999931e-05
3.592669727594253626e+00 2.972333669662475586e+00 3.736000000000000210e+00 3.480599999999999845e-05
3.920057870686842083e+00 3.038203954696655273e+00 3.770000000000000018e+00 4.514400000000000010e-05
3.588103801336429033e+00 2.957009077072143555e+00 3.557999999999999829e+00 5.549700000000000076e-05
3.548293912438105657e+00 2.829620361328125000e+00 3.490000000000000213e+00 2.088600000000000027e-04
3.842106901118218509e+00 3.032618045806884766e+00 3.557999999999999829e+00 3.833499999999999804e-05
4.220581753992784790e+00 3.764858484268188477e+00 4.533999999999999808e+00 3.973300000000000058e-05
3.602710612698518222e+00 3.067716836929321289e+00 3.629000000000000004e+00 1.361899999999999954e-05
3.453052847946071147e+00 2.901996612548828125e+00 3.653999999999999915e+00 1.970600000000000072e-05
3.354578691190269524e+00 2.887456178665161133e+00 3.338000000000000078e+00 3.009499999999999900e-05
3.228197993287555967e+00 2.894965648651123047e+00 3.482000000000000206e+00 1.210799999999999995e-05
3.127908610423127289e+00 2.513669252395629883e+00 3.261000000000000121e+00 7.971699999999999587e-05
2.997138384666333089e+00 2.553209304809570312e+00 3.091000000000000192e+00 2.018399999999999852e-05
3.728050899261622142e+00 2.960954189300537109e+00 3.603000000000000203e+00 4.385399999999999720e-05
4.221920055458067367e+00 3.508241415023803711e+00 4.147000000000000242e+00 1.865600000000000027e-04
4.205517362054477459e+00 3.309215068817138672e+00 3.798999999999999932e+00 1.368999999999999937e-04
3.566784815225513050e+00 2.890729188919067383e+00 3.599000000000000199e+00 6.270799999999999660e-05
2.919731092927411176e+00 2.439389228820800781e+00 2.998000000000000220e+00 3.251200000000000314e-05
3.034842650423825283e+00 2.426839828491210938e+00 2.988999999999999879e+00 1.048799999999999987e-04
3.438031466429927629e+00 3.005683898925781250e+00 3.615000000000000213e+00 5.612100000000000020e-05
3.390444471454546971e+00 2.796660661697387695e+00 3.528999999999999915e+00 1.192200000000000037e-05
